season,date,home_team,away_team,home_score,away_score,is_neutral,is_conference,home_abbr,away_abbr
2020,2019-11-05T23:30Z,Miami Hurricanes,Louisville Cardinals,74,87,False,True,MIA,LOU
2020,2019-11-06T00:00Z,Florida Gators,North Florida Ospreys,74,59,False,True,FLA,UNF
2020,2019-11-06T00:30Z,Maryland Terrapins,Holy Cross Crusaders,95,71,False,True,MD,HC
2020,2019-11-06T01:00Z,Gonzaga Bulldogs,Alabama State Hornets,95,64,False,True,GONZ,ALST
2020,2019-11-06T01:30Z,Villanova Wildcats,Army Black Knights,97,54,False,True,VILL,ARMY
2020,2019-11-05T23:30Z,Seton Hall Pirates,Wagner Seahawks,105,71,False,True,HALL,WAG
2020,2019-11-06T01:00Z,Texas Tech Red Raiders,Eastern Illinois Panthers,85,60,False,True,TTU,EIU
2020,2019-11-06T01:00Z,Memphis Tigers,South Carolina State Bulldogs,97,64,False,True,MEM,SCST
2020,2019-11-06T02:00Z,Oregon Ducks,Fresno State Bulldogs,71,57,False,True,ORE,FRES
2020,2019-11-05T17:00Z,Baylor Bears,Central Arkansas Bears,105,61,False,True,BAY,CARK
2020,2019-11-06T03:00Z,Utah State Aggies,Montana State Bobcats,81,73,False,True,USU,MTST
2020,2019-11-06T00:00Z,Xavier Musketeers,Jacksonville Dolphins,76,57,False,True,XAV,JAX
2020,2019-11-06T02:00Z,Wisconsin Badgers,Saint Mary's Gaels,63,65,True,True,WIS,SMC
2020,2019-11-06T02:00Z,Auburn Tigers,Georgia Southern Eagles,83,74,False,True,AUB,GASO
2020,2019-11-06T00:00Z,VCU Rams,Saint Francis Red Flash,72,58,False,True,VCU,SFPA
2020,2019-11-07T00:00Z,North Carolina Tar Heels,Notre Dame Fighting Irish,76,65,False,True,UNC,ND
2020,2019-11-07T02:00Z,Syracuse Orange,Virginia Cavaliers,34,48,False,True,SYR,UVA
2020,2019-11-07T01:30Z,Ohio State Buckeyes,Cincinnati Bearcats,64,56,False,True,OSU,CIN
2020,2019-11-07T02:00Z,Arizona Wildcats,Northern Arizona Lumberjacks,91,52,False,True,ARIZ,NAU
2020,2019-11-07T00:00Z,Purdue Boilermakers,Green Bay Phoenix,79,57,False,True,PUR,GB
2020,2019-11-07T18:00Z,Omaha Mavericks,Midland University Midland,72,53,False,True,OMA,MIDLAND
2020,2019-11-07T23:00Z,Morehead State Eagles,Spalding Pelicans,92,44,False,True,MORE,SPLD
2020,2019-11-08T00:00Z,Purdue Fort Wayne Mastodons,Manchester Spartans,91,80,False,True,PFW,MNCHSTR
2020,2019-11-08T00:00Z,Marshall Thundering Herd,Robert Morris Colonials,67,60,False,True,MRSH,RMU
2020,2019-11-08T00:00Z,App State Mountaineers,Ferrum Panthers,83,56,False,True,APP,FC
2020,2019-11-08T00:00Z,Hartford Hawks,Winthrop Eagles,57,67,False,True,HART,WIN
2020,2019-11-08T00:00Z,Clemson Tigers,Presbyterian Blue Hose,79,45,False,True,CLEM,PRES
2020,2019-11-08T00:00Z,North Florida Ospreys,Florida National Conquistadors,89,81,False,True,UNF,FNU
2020,2019-11-08T00:00Z,Rutgers Scarlet Knights,Bryant Bulldogs,73,71,False,True,RUTG,BRY
2020,2019-11-08T00:30Z,Samford Bulldogs,Kentucky Wesleyan Panthers,68,42,False,True,SAM,KYWESL
2020,2019-11-08T01:00Z,South Dakota State Jackrabbits,Peru State Bobcats,86,58,False,True,SDST,PSC
2020,2019-11-08T01:00Z,North Dakota State Bison,Mayville St Comets,93,53,False,True,NDSU,MYSU
2020,2019-11-08T01:00Z,North Dakota Fighting Hawks,Crown College Polars,86,61,False,True,UND,CRWN
2020,2019-11-08T01:00Z,Central Arkansas Bears,Hendrix College Warriors,71,51,False,True,CARK,HDX
2020,2019-11-08T01:00Z,Troy Trojans,UAB Blazers,75,76,False,True,TROY,UAB
2020,2019-11-08T01:00Z,Drake Bulldogs,Kennesaw State Owls,86,55,False,True,DRKE,KENN
2020,2019-11-08T01:00Z,TCU Horned Frogs,Southwestern (TX) Pirates,83,62,False,True,TCU,SW
2020,2019-11-08T02:00Z,Washington State Cougars,Seattle U Redhawks,85,54,False,True,WSU,SEA
2020,2019-11-08T02:00Z,Air Force Falcons,Idaho State Bengals,79,89,False,True,AF,IDST
2020,2019-11-08T03:00Z,UC Davis Aggies,Jessup University Warriors,109,63,False,True,UCD,JSP
2020,2019-11-09T00:00Z,Kentucky Wildcats,Eastern Kentucky Colonels,91,49,False,True,UK,EKU
2020,2019-11-09T02:00Z,Kansas Jayhawks,UNC Greensboro Spartans,74,62,False,True,KU,UNCG
2020,2019-11-09T00:00Z,Duke Blue Devils,Colorado State Rams,89,55,False,True,DUKE,CSU
2020,2019-11-09T00:00Z,UNC Wilmington Seahawks,North Carolina Tar Heels,62,78,False,True,UNCW,UNC
2020,2019-11-09T02:00Z,Utah State Aggies,Weber State Wildcats,89,34,False,True,USU,WEB
2020,2019-11-09T00:00Z,Xavier Musketeers,Siena Saints,81,63,False,True,XAV,SIE
2020,2019-11-09T01:00Z,LSU Tigers,Bowling Green Falcons,88,79,False,True,LSU,BGSU
2020,2019-11-09T00:00Z,VCU Rams,North Texas Mean Green,59,56,False,True,VCU,UNT
2020,2019-11-10T02:00Z,Maryland Terrapins,Rhode Island Rams,73,55,False,True,MD,URI
2020,2019-11-10T01:00Z,Gonzaga Bulldogs,Arkansas-Pine Bluff Golden Lions,110,60,False,True,GONZ,UAPB
2020,2019-11-09T19:30Z,Seton Hall Pirates,Stony Brook Seawolves,74,57,False,True,HALL,STBK
2020,2019-11-10T01:00Z,Texas Tech Red Raiders,Bethune-Cookman Wildcats,79,44,False,True,TTU,BCU
2020,2019-11-10T04:00Z,Oregon Ducks,Boise State Broncos,106,75,False,True,ORE,BOIS
2020,2019-11-10T00:00Z,Purdue Boilermakers,Texas Longhorns,66,70,False,True,PUR,TEX
2020,2019-11-11T00:00Z,Michigan State Spartans,Binghamton Bearcats,100,47,False,True,MSU,BING
2020,2019-11-10T18:00Z,Florida Gators,Florida State Seminoles,51,63,False,True,FLA,FSU
2020,2019-11-10T23:00Z,Virginia Cavaliers,James Madison Dukes,65,34,False,True,UVA,JMU
2020,2019-11-10T21:00Z,Ohio State Buckeyes,UMass Lowell River Hawks,76,56,False,True,OSU,UML
2020,2019-11-11T02:00Z,Arizona Wildcats,Illinois Fighting Illini,90,69,False,True,ARIZ,ILL
2020,2019-11-12T02:00Z,Saint Mary's Gaels,Winthrop Eagles,59,61,False,True,SMC,WIN
2020,2019-11-13T00:00Z,Kentucky Wildcats,Evansville Purple Aces,64,67,False,True,UK,EVAN
2020,2019-11-13T02:00Z,Gonzaga Bulldogs,North Dakota Fighting Hawks,97,66,False,True,GONZ,UND
2020,2019-11-13T02:00Z,Utah State Aggies,Denver Pioneers,97,56,False,True,USU,DEN
2020,2019-11-13T02:00Z,Washington Huskies,Mount St. Mary's Mountaineers,56,46,False,True,WASH,MSM
2020,2019-11-13T00:00Z,Xavier Musketeers,Missouri Tigers,63,58,False,True,XAV,MIZ
2020,2019-11-13T01:00Z,South Alabama Jaguars,Auburn Tigers,69,70,False,True,USA,AUB
2020,2019-11-14T01:00Z,Louisville Cardinals,Indiana State Sycamores,91,62,False,True,LOU,INST
2020,2019-11-14T01:00Z,Texas Tech Red Raiders,Houston Christian Huskies,103,74,True,True,TTU,HCU
2020,2019-11-13T23:00Z,VCU Rams,LSU Tigers,84,82,False,True,VCU,LSU
2020,2019-11-15T00:00Z,Florida Gators,Towson Tigers,66,60,False,True,FLA,TOW
2020,2019-11-15T03:00Z,Saint Mary's Gaels,Long Beach State Beach,81,63,False,True,SMC,LBSU
2020,2019-11-15T01:00Z,Arizona Wildcats,San José State Spartans,87,39,False,True,ARIZ,SJSU
2020,2019-11-16T01:00Z,Kansas Jayhawks,Monmouth Hawks,112,57,False,True,KU,MONM
2020,2019-11-16T02:00Z,North Carolina Tar Heels,Gardner-Webb Runnin' Bulldogs,77,61,False,True,UNC,GWEB
2020,2019-11-16T02:00Z,Texas A&M Aggies,Gonzaga Bulldogs,49,79,False,True,TA&M,GONZ
2020,2019-11-16T02:00Z,Utah State Aggies,North Carolina A&T Aggies,81,54,False,True,USU,NCAT
2020,2019-11-16T00:00Z,Xavier Musketeers,Missouri State Bears,59,56,False,True,XAV,MOST
2020,2019-11-16T02:00Z,Baylor Bears,Texas State Bobcats,72,63,False,True,BAY,TXST
2020,2019-11-16T17:00Z,Maryland Terrapins,Oakland Golden Grizzlies,80,50,False,True,MD,OAK
2020,2019-11-16T21:00Z,LSU Tigers,Nicholls Colonels,75,65,False,True,LSU,NICH
2020,2019-11-17T03:00Z,Colorado Buffaloes,San Diego Toreros,71,53,False,True,COLO,USD
2020,2019-11-17T21:00Z,Saint Louis Billikens,Seton Hall Pirates,66,83,False,True,SLU,HALL
2020,2019-11-18T01:00Z,Oregon Ducks,UT Arlington Mavericks,67,47,False,True,ORE,UTA
2020,2019-11-17T20:00Z,UConn Huskies,Florida Gators,62,59,False,True,CONN,FLA
2020,2019-11-18T01:00Z,Saint Mary's Gaels,Cal Poly Mustangs,79,48,False,True,SMC,CP
2020,2019-11-17T19:00Z,Arizona Wildcats,New Mexico State Aggies,83,53,False,True,ARIZ,NMSU
2020,2019-11-19T02:00Z,Utah State Aggies,UTSA Roadrunners,82,50,False,True,USU,UTSA
2020,2019-11-19T02:00Z,Colorado Buffaloes,UC Irvine Anteaters,69,53,False,True,COLO,UCI
2020,2019-11-20T01:30Z,Maryland Terrapins,Fairfield Stags,74,55,False,True,MD,FAIR
2020,2019-11-20T04:00Z,Washington Huskies,Maine Black Bears,72,53,False,True,WASH,ME
2020,2019-11-20T17:00Z,Miami (OH) RedHawks,Central State (OH) Marauders,80,45,False,True,M-OH,CSO
2020,2019-11-20T23:30Z,Florida State Seminoles,Chattanooga Mocs,89,53,False,True,FSU,UTC
2020,2019-11-21T00:00Z,VMI Keydets,Christendom Crusaders,96,20,False,True,VMI,CTDM
2020,2019-11-21T00:00Z,Wright State Raiders,Urbana Blue Knights,88,51,False,True,WRST,URB
2020,2019-11-21T00:00Z,Ball State Cardinals,Northern Kentucky Norse,57,59,False,True,BALL,NKU
2020,2019-11-21T00:00Z,Old Dominion Monarchs,James Madison Dukes,78,80,False,True,ODU,JMU
2020,2019-11-21T00:00Z,Saint Peter's Peacocks,Wagner Seahawks,77,81,False,True,SPU,WAG
2020,2019-11-21T00:00Z,Yale Bulldogs,Siena Saints,100,89,False,True,YALE,SIE
2020,2019-11-21T00:00Z,Drexel Dragons,Bryant Bulldogs,86,74,False,True,DREX,BRY
2020,2019-11-21T00:00Z,NJIT Highlanders,Binghamton Bearcats,75,77,False,True,NJIT,BING
2020,2019-11-21T00:00Z,Massachusetts Minutemen,Rider Broncs,82,72,False,True,MASS,RID
2020,2019-11-21T00:00Z,Tennessee Volunteers,Alabama State Hornets,76,41,False,True,TENN,ALST
2020,2019-11-21T00:00Z,St. John's Red Storm,Columbia Lions,82,63,False,True,SJU,COLU
2020,2019-11-21T00:00Z,Virginia Tech Hokies,Delaware State Hornets,100,64,False,True,VT,DSU
2020,2019-11-21T00:00Z,Louisville Cardinals,South Carolina Upstate Spartans,76,50,False,True,LOU,UPST
2020,2019-11-21T00:00Z,Georgia Bulldogs,Georgia Tech Yellow Jackets,82,78,False,True,UGA,GT
2020,2019-11-21T00:00Z,Boston College Eagles,Eastern Washington Eagles,72,68,False,True,BC,EWU
2020,2019-11-21T00:00Z,Indiana Hoosiers,Princeton Tigers,79,54,False,True,IU,PRIN
2020,2019-11-21T00:00Z,Rutgers Scarlet Knights,Stephen F. Austin Lumberjacks,69,57,False,True,RUTG,SFA
2020,2019-11-21T00:30Z,Sam Houston Bearkats,LeTourneau Yellow Jackets,88,58,False,True,SHSU,LETU
2020,2019-11-21T00:30Z,Lipscomb Bisons,Belmont Bruins,67,73,False,True,LIP,BEL
2020,2019-11-21T00:30Z,Florida Gulf Coast Eagles,Florida Atlantic Owls,72,70,False,True,FGCU,FAU
2020,2019-11-21T00:30Z,Syracuse Orange,Cornell Big Red,72,53,False,True,SYR,COR
2020,2019-11-21T01:00Z,UAB Blazers,Mount St. Mary's Mountaineers,58,51,False,True,UAB,MSM
2020,2019-11-21T01:00Z,Northern Iowa Panthers,Cornell College (IA) Rams,88,66,False,True,UNI,CORNELLIA
2020,2019-11-21T01:00Z,Loyola Chicago Ramblers,IU Indianapolis Jaguars,85,62,False,True,LUC,IUIN
2020,2019-11-21T01:00Z,Saint Louis Billikens,High Point Panthers,67,55,False,True,SLU,HPU
2020,2019-11-21T01:00Z,Tulsa Golden Hurricane,SE Louisiana Lions,73,66,False,True,TLSA,SELA
2020,2019-11-21T01:00Z,Memphis Tigers,Little Rock Trojans,68,58,False,True,MEM,LR
2020,2019-11-21T01:00Z,Vanderbilt Commodores,Austin Peay Governors,90,72,False,True,VAN,APSU
2020,2019-11-21T01:00Z,Texas A&M Aggies,Troy Trojans,56,52,False,True,TA&M,TROY
2020,2019-11-21T01:00Z,Missouri Tigers,Morehead State Eagles,70,52,False,True,MIZ,MORE
2020,2019-11-21T01:00Z,Northern Arizona Lumberjacks,Benedictine (AZ) Redhawks,93,56,False,True,NAU,BENU
2020,2019-11-21T01:05Z,Chicago State Cougars,North Park Vikings,79,66,False,True,CHST,NOR
2020,2019-11-21T01:30Z,Western Illinois Leathernecks,Northern Illinois Huskies,81,86,False,True,WIU,NIU
2020,2019-11-21T01:30Z,North Carolina Tar Heels,Elon Phoenix,75,61,False,True,UNC,ELON
2020,2019-11-21T01:35Z,UC Davis Aggies,Sacramento State Hornets,51,61,True,True,UCD,SAC
2020,2019-11-21T02:00Z,Colorado State Rams,Arkansas State Red Wolves,78,80,False,True,CSU,ARST
2020,2019-11-21T02:00Z,Illinois Fighting Illini,The Citadel Bulldogs,85,57,False,True,ILL,CIT
2020,2019-11-21T03:00Z,Boise State Broncos,BYU Cougars,72,68,False,True,BOIS,BYU
2020,2019-11-21T03:00Z,San José State Spartans,Grambling Tigers,83,76,False,True,SJSU,GRAM
2020,2019-11-21T03:00Z,UNLV Rebels,Texas State Bobcats,57,64,False,True,UNLV,TXST
2020,2019-11-21T03:00Z,Oregon State Beavers,UC Santa Barbara Gauchos,78,67,False,True,ORST,UCSB
2020,2019-11-21T03:05Z,Portland State Vikings,Portland Pilots,75,82,False,True,PRST,PORT
2020,2019-11-21T04:00Z,Fresno State Bulldogs,Saint Mary's Gaels,58,68,True,True,FRES,SMC
2020,2019-11-21T04:00Z,San Diego Toreros,San Diego State Aztecs,49,66,False,True,USD,SDSU
2020,2019-11-22T02:00Z,Arizona Wildcats,South Dakota State Jackrabbits,71,64,False,True,ARIZ,SDST
2020,2019-11-23T00:00Z,Maryland Terrapins,George Mason Patriots,86,63,False,True,MD,GMU
2020,2019-11-23T00:00Z,Ohio State Buckeyes,Purdue Fort Wayne Mastodons,85,46,False,True,OSU,PFW
2020,2019-11-23T02:00Z,Oregon Ducks,Houston Cougars,78,66,False,True,ORE,HOU
2020,2019-11-23T04:00Z,Washington Huskies,Montana Grizzlies,73,56,False,True,WASH,MONT
2020,2019-11-24T01:00Z,Gonzaga Bulldogs,Cal State Bakersfield Roadrunners,77,49,False,True,GONZ,CSUB
2020,2019-11-23T17:00Z,Seton Hall Pirates,Florida A&M Rattlers,87,51,False,True,HALL,FAMU
2020,2019-11-23T18:00Z,Memphis Tigers,Ole Miss Rebels,87,86,False,True,MEM,MISS
2020,2019-11-24T00:00Z,VCU Rams,Florida Gulf Coast Eagles,78,48,False,True,VCU,FGCU
2020,2019-11-25T03:30Z,Washington Huskies,San Diego Toreros,88,69,False,True,WASH,USD
2020,2019-11-26T00:00Z,VCU Rams,Alabama State Hornets,78,62,False,True,VCU,ALST
2020,2019-11-27T02:00Z,Duke Blue Devils,Stephen F. Austin Lumberjacks,83,85,False,True,DUKE,SFA
2020,2019-11-27T21:00Z,Virginia Cavaliers,Maine Black Bears,46,26,False,True,UVA,ME
2020,2019-11-28T16:00Z,Temple Owls,Maryland Terrapins,69,76,True,True,TEM,MD
2020,2019-11-28T17:00Z,Elon Phoenix,UT Arlington Mavericks,67,77,False,True,ELON,UTA
2020,2019-11-28T18:30Z,Michigan Wolverines,North Carolina Tar Heels,73,64,True,True,MICH,UNC
2020,2019-11-28T18:32Z,Harvard Crimson,Texas A&M Aggies,62,51,True,True,HARV,TA&M
2020,2019-11-28T19:00Z,Cal Poly Mustangs,Tennessee State Tigers,72,82,True,True,CP,TNST
2020,2019-11-28T19:00Z,Long Beach State Beach,Providence Friars,66,65,True,True,LBSU,PROV
2020,2019-11-28T21:00Z,Gonzaga Bulldogs,Oregon Ducks,73,72,True,True,GONZ,ORE
2020,2019-11-28T21:00Z,Fairfield Stags,USC Trojans,47,54,True,True,FAIR,USC
2020,2019-11-28T21:00Z,Memphis Tigers,NC State Wolfpack,83,78,True,True,MEM,NCSU
