team,wins,losses,win_pct,ppg,opp_ppg,point_diff
Miami Hurricanes,37,32,0.5362318840579711,74.44927536231884,74.82608695652173,-0.37681159420289856
Florida Gators,56,36,0.6086956521739131,78.05434782608695,71.3913043478261,6.663043478260869
Maryland Terrapins,55,39,0.5851063829787234,70.94680851063829,68.1063829787234,2.8404255319148937
Gonzaga Bulldogs,139,23,0.8580246913580247,87.20370370370371,69.60493827160494,17.598765432098766
Villanova Wildcats,78,37,0.6782608695652174,72.32173913043478,66.06086956521739,6.260869565217392
Seton Hall Pirates,33,35,0.4852941176470588,71.36764705882354,70.52941176470588,0.8382352941176471
Texas Tech Red Raiders,77,51,0.6015625,72.8984375,65.7578125,7.140625
Memphis Tigers,61,26,0.7011494252873564,76.93103448275862,70.75862068965517,6.172413793103448
Oregon Ducks,52,37,0.5842696629213483,74.68539325842697,71.40449438202248,3.2808988764044944
Baylor Bears,119,43,0.7345679012345679,77.53703703703704,66.9320987654321,10.604938271604938
Utah State Aggies,33,19,0.6346153846153846,75.38461538461539,70.0,5.384615384615385
Xavier Musketeers,40,38,0.5128205128205128,74.48717948717949,73.92307692307692,0.5641025641025641
Wisconsin Badgers,81,51,0.6136363636363636,71.74242424242425,68.37121212121212,3.371212121212121
Auburn Tigers,111,34,0.7655172413793103,78.15862068965517,68.64137931034483,9.517241379310345
VCU Rams,17,11,0.6071428571428571,70.60714285714286,67.46428571428571,3.142857142857143
North Carolina Tar Heels,65,40,0.6190476190476191,78.0952380952381,71.82857142857142,6.266666666666667
Syracuse Orange,12,21,0.36363636363636365,71.06060606060606,74.63636363636364,-3.5757575757575757
Ohio State Buckeyes,61,45,0.5754716981132075,73.80188679245283,69.20754716981132,4.59433962264151
Arizona Wildcats,106,39,0.7310344827586207,82.37931034482759,70.75862068965517,11.620689655172415
Purdue Boilermakers,115,44,0.7232704402515723,76.63522012578616,68.01886792452831,8.616352201257861
Omaha Mavericks,4,12,0.25,61.1875,80.3125,-19.125
Morehead State Eagles,6,13,0.3157894736842105,64.15789473684211,72.21052631578948,-8.052631578947368
Purdue Fort Wayne Mastodons,9,11,0.45,68.9,72.2,-3.3
Marshall Thundering Herd,8,7,0.5333333333333333,77.86666666666666,75.26666666666667,2.6
App State Mountaineers,6,8,0.42857142857142855,65.14285714285714,67.0,-1.8571428571428572
Hartford Hawks,3,7,0.3,63.4,68.5,-5.1
Clemson Tigers,35,26,0.5737704918032787,72.0,69.32786885245902,2.6721311475409837
North Florida Ospreys,5,11,0.3125,67.0625,83.1875,-16.125
Rutgers Scarlet Knights,33,36,0.4782608695652174,70.44927536231884,69.97101449275362,0.4782608695652174
Samford Bulldogs,2,4,0.3333333333333333,71.5,75.66666666666667,-4.166666666666667
South Dakota State Jackrabbits,8,15,0.34782608695652173,72.78260869565217,77.21739130434783,-4.434782608695652
North Dakota State Bison,14,9,0.6086956521739131,74.17391304347827,70.52173913043478,3.652173913043478
North Dakota Fighting Hawks,6,10,0.375,72.0,76.625,-4.625
Central Arkansas Bears,3,9,0.25,62.916666666666664,85.08333333333333,-22.166666666666668
Troy Trojans,4,11,0.26666666666666666,63.13333333333333,69.73333333333333,-6.6
Drake Bulldogs,11,8,0.5789473684210527,66.63157894736842,63.73684210526316,2.8947368421052633
TCU Horned Frogs,35,48,0.42168674698795183,68.20481927710843,70.08433734939759,-1.8795180722891567
Washington State Cougars,13,19,0.40625,66.78125,68.0,-1.21875
Air Force Falcons,1,14,0.06666666666666667,66.06666666666666,76.73333333333333,-10.666666666666666
UC Davis Aggies,5,10,0.3333333333333333,68.33333333333333,70.4,-2.066666666666667
Kentucky Wildcats,99,44,0.6923076923076923,81.00699300699301,72.39160839160839,8.615384615384615
Kansas Jayhawks,133,41,0.764367816091954,75.24137931034483,66.4367816091954,8.804597701149426
Duke Blue Devils,127,31,0.8037974683544303,79.73417721518987,65.71518987341773,14.018987341772151
UNC Wilmington Seahawks,4,8,0.3333333333333333,66.0,72.41666666666667,-6.416666666666667
LSU Tigers,27,39,0.4090909090909091,72.13636363636364,74.13636363636364,-2.0
Michigan State Spartans,79,47,0.626984126984127,73.41269841269842,68.47619047619048,4.936507936507937
Virginia Cavaliers,58,34,0.6304347826086957,62.45652173913044,59.19565217391305,3.260869565217391
Saint Mary's Gaels,34,21,0.6181818181818182,69.38181818181818,65.0,4.381818181818182
Washington Huskies,13,29,0.30952380952380953,69.71428571428571,75.57142857142857,-5.857142857142857
South Alabama Jaguars,7,7,0.5,68.42857142857143,67.21428571428571,1.2142857142857142
Louisville Cardinals,34,33,0.5074626865671642,71.35820895522389,69.73134328358209,1.626865671641791
Texas A&M Aggies,49,35,0.5833333333333334,72.96428571428571,70.30952380952381,2.6547619047619047
Colorado Buffaloes,35,35,0.5,69.61428571428571,69.41428571428571,0.2
Saint Louis Billikens,10,14,0.4166666666666667,72.125,72.83333333333333,-0.7083333333333334
UConn Huskies,104,37,0.7375886524822695,77.39007092198581,65.23404255319149,12.156028368794326
Miami (OH) RedHawks,6,7,0.46153846153846156,72.46153846153847,66.07692307692308,6.384615384615385
Florida State Seminoles,37,26,0.5873015873015873,74.0952380952381,71.5079365079365,2.5873015873015874
VMI Keydets,4,2,0.6666666666666666,78.33333333333333,65.0,13.333333333333334
Wright State Raiders,15,12,0.5555555555555556,76.4074074074074,73.85185185185185,2.5555555555555554
Ball State Cardinals,5,9,0.35714285714285715,72.28571428571429,75.64285714285714,-3.357142857142857
Old Dominion Monarchs,3,10,0.23076923076923078,68.07692307692308,79.3076923076923,-11.23076923076923
Saint Peter's Peacocks,24,10,0.7058823529411765,65.82352941176471,63.588235294117645,2.235294117647059
Yale Bulldogs,16,14,0.5333333333333333,74.33333333333333,71.56666666666666,2.7666666666666666
Drexel Dragons,7,3,0.7,70.5,63.4,7.1
NJIT Highlanders,1,4,0.2,69.4,82.2,-12.8
Massachusetts Minutemen,3,5,0.375,71.625,77.0,-5.375
Tennessee Volunteers,122,47,0.7218934911242604,73.94674556213018,63.18343195266272,10.763313609467456
St. John's Red Storm,33,32,0.5076923076923077,75.07692307692308,72.36923076923077,2.707692307692308
Virginia Tech Hokies,20,27,0.425531914893617,69.25531914893617,71.29787234042553,-2.0425531914893615
Georgia Bulldogs,12,34,0.2608695652173913,71.17391304347827,79.32608695652173,-8.152173913043478
Boston College Eagles,9,26,0.2571428571428571,65.74285714285715,74.42857142857143,-8.685714285714285
Indiana Hoosiers,39,44,0.46987951807228917,70.01204819277109,69.73493975903614,0.27710843373493976
Sam Houston Bearkats,6,6,0.5,70.75,66.0,4.75
Lipscomb Bisons,4,11,0.26666666666666666,71.8,77.46666666666667,-5.666666666666667
Florida Gulf Coast Eagles,6,5,0.5454545454545454,69.27272727272727,72.0909090909091,-2.8181818181818183
UAB Blazers,17,9,0.6538461538461539,75.11538461538461,72.76923076923077,2.3461538461538463
Northern Iowa Panthers,6,8,0.42857142857142855,74.78571428571429,74.07142857142857,0.7142857142857143
Loyola Chicago Ramblers,15,12,0.5555555555555556,66.55555555555556,62.407407407407405,4.148148148148148
Tulsa Golden Hurricane,7,11,0.3888888888888889,65.11111111111111,73.61111111111111,-8.5
Vanderbilt Commodores,18,37,0.32727272727272727,71.78181818181818,78.0,-6.218181818181818
Missouri Tigers,32,40,0.4444444444444444,73.88888888888889,75.44444444444444,-1.5555555555555556
Northern Arizona Lumberjacks,4,10,0.2857142857142857,67.64285714285714,76.85714285714286,-9.214285714285714
Chicago State Cougars,5,15,0.25,62.35,76.4,-14.05
