game_id,gameday,home_team,away_team,home_win,point_diff,home_rolling_ppg,home_rolling_papg,home_rolling_diff,away_rolling_ppg,away_rolling_papg,away_rolling_diff,ppg_differential,papg_differential,overall_differential,home_advantage,week,is_divisional,spread_line,home_moneyline,away_moneyline
2019_02_TB_CAR,2019-09-12,CAR,TB,0,-6.0,27.0,30.0,-3.0,17.0,31.0,-14.0,10.0,-1.0,11.0,1,2,1,6.5,-277.0,240.0
2019_02_IND_TEN,2019-09-15,TEN,IND,0,-2.0,43.0,13.0,30.0,24.0,30.0,-6.0,19.0,-17.0,36.0,1,2,1,3.0,-178.0,160.0
2019_02_PHI_ATL,2019-09-15,ATL,PHI,1,4.0,12.0,28.0,-16.0,32.0,27.0,5.0,-20.0,1.0,-21.0,1,2,0,-1.0,-105.0,-105.0
2019_02_NO_LA,2019-09-15,LA,NO,1,18.0,30.0,27.0,3.0,30.0,28.0,2.0,0.0,-1.0,1.0,1,2,0,2.0,-118.0,107.0
2019_02_CHI_DEN,2019-09-15,DEN,CHI,0,-2.0,16.0,24.0,-8.0,3.0,10.0,-7.0,13.0,14.0,-1.0,1,2,0,-3.0,132.0,-147.0
2019_02_DAL_WAS,2019-09-15,WAS,DAL,0,-10.0,27.0,32.0,-5.0,35.0,17.0,18.0,-8.0,15.0,-23.0,1,2,1,-6.0,233.0,-268.0
2019_02_SEA_PIT,2019-09-15,PIT,SEA,0,-2.0,3.0,33.0,-30.0,21.0,20.0,1.0,-18.0,13.0,-31.0,1,2,0,4.0,-197.0,175.0
2019_02_KC_OAK,2019-09-15,OAK,KC,0,-18.0,24.0,16.0,8.0,40.0,26.0,14.0,-16.0,-10.0,-6.0,1,2,1,-7.0,252.0,-293.0
2019_02_NE_MIA,2019-09-15,MIA,NE,0,-43.0,10.0,59.0,-49.0,33.0,3.0,30.0,-23.0,56.0,-79.0,1,2,1,-18.0,880.0,-1300.0
2019_02_JAX_HOU,2019-09-15,HOU,JAX,1,1.0,28.0,30.0,-2.0,26.0,40.0,-14.0,2.0,-10.0,12.0,1,2,1,7.5,-336.0,286.0
2019_02_MIN_GB,2019-09-15,GB,MIN,1,5.0,10.0,3.0,7.0,28.0,12.0,16.0,-18.0,-9.0,-9.0,1,2,1,3.0,-165.0,148.0
2019_02_LAC_DET,2019-09-15,DET,LAC,1,3.0,27.0,27.0,0.0,30.0,24.0,6.0,-3.0,3.0,-6.0,1,2,0,-1.0,-103.0,-107.0
2019_02_SF_CIN,2019-09-15,CIN,SF,0,-24.0,20.0,21.0,-1.0,31.0,17.0,14.0,-11.0,4.0,-15.0,1,2,0,1.0,-107.0,-103.0
2019_02_ARI_BAL,2019-09-15,BAL,ARI,1,6.0,59.0,10.0,49.0,27.0,27.0,0.0,32.0,-17.0,49.0,1,2,0,13.0,-665.0,513.0
2019_02_BUF_NYG,2019-09-15,NYG,BUF,0,-14.0,17.0,35.0,-18.0,17.0,16.0,1.0,0.0,19.0,-19.0,1,2,0,-1.0,102.0,-113.0
2019_02_CLE_NYJ,2019-09-16,NYJ,CLE,0,-20.0,16.0,17.0,-1.0,13.0,43.0,-30.0,3.0,-26.0,29.0,1,2,0,-6.5,241.0,-278.0
2019_03_TEN_JAX,2019-09-19,JAX,TEN,1,13.0,19.0,26.5,-7.5,30.0,16.0,14.0,-11.0,10.5,-21.5,1,3,1,-1.5,113.0,-125.0
2019_03_LA_CLE,2019-09-22,CLE,LA,0,-7.0,18.0,23.0,-5.0,28.5,18.0,10.5,-10.5,5.0,-15.5,1,3,0,-4.0,190.0,-215.0
2019_03_PIT_SF,2019-09-22,SF,PIT,1,4.0,36.0,17.0,19.0,14.5,30.5,-16.0,21.5,-13.5,35.0,1,3,0,6.0,-276.0,239.0
2019_03_NO_SEA,2019-09-22,SEA,NO,0,-6.0,24.5,23.0,1.5,19.5,27.5,-8.0,5.0,-4.5,9.5,1,3,0,5.0,-225.0,199.0
2019_03_HOU_LAC,2019-09-22,LAC,HOU,0,-7.0,20.0,18.5,1.5,20.5,21.0,-0.5,-0.5,-2.5,2.0,1,3,0,3.0,-168.0,151.0
2019_03_NYG_TB,2019-09-22,TB,NYG,0,-1.0,18.5,22.5,-4.0,15.5,31.5,-16.0,3.0,-9.0,12.0,1,3,0,5.0,-230.0,202.0
2019_03_CAR_ARI,2019-09-22,ARI,CAR,0,-18.0,22.0,25.0,-3.0,20.5,25.0,-4.5,1.5,0.0,1.5,1,3,0,2.5,-131.0,118.0
2019_03_DET_PHI,2019-09-22,PHI,DET,0,-3.0,26.0,25.5,0.5,20.0,18.5,1.5,6.0,7.0,-1.0,1,3,0,4.0,-212.0,188.0
2019_03_NYJ_NE,2019-09-22,NE,NYJ,1,16.0,38.0,1.5,36.5,9.5,20.0,-10.5,28.5,-18.5,47.0,1,3,1,20.5,-1962.0,1203.0
2019_03_BAL_KC,2019-09-22,KC,BAL,1,5.0,34.0,18.0,16.0,41.0,13.5,27.5,-7.0,4.5,-11.5,1,3,0,4.5,-216.0,191.0
2019_03_ATL_IND,2019-09-22,IND,ATL,1,3.0,21.5,23.5,-2.0,18.0,24.0,-6.0,3.5,-0.5,4.0,1,3,0,1.0,-116.0,105.0
2019_03_DEN_GB,2019-09-22,GB,DEN,1,11.0,15.5,9.5,6.0,15.0,20.0,-5.0,0.5,-10.5,11.0,1,3,0,7.0,-327.0,278.0
2019_03_MIA_DAL,2019-09-22,DAL,MIA,1,25.0,33.0,19.0,14.0,5.0,51.0,-46.0,28.0,-32.0,60.0,1,3,0,22.0,-2540.0,1454.0
2019_03_CIN_BUF,2019-09-22,BUF,CIN,1,4.0,22.5,15.0,7.5,18.5,31.0,-12.5,4.0,-16.0,20.0,1,3,0,5.5,-252.0,220.0
2019_03_OAK_MIN,2019-09-22,MIN,OAK,1,20.0,22.0,16.5,5.5,17.0,22.0,-5.0,5.0,-5.5,10.5,1,3,0,8.5,-405.0,337.0
2019_03_CHI_WAS,2019-09-23,WAS,CHI,0,-16.0,24.0,31.5,-7.5,9.5,12.0,-2.5,14.5,19.5,-5.0,1,3,0,-5.0,204.0,-232.0
2019_04_PHI_GB,2019-09-26,GB,PHI,0,-7.0,19.333333333333332,11.666666666666666,7.666666666666666,25.333333333333332,26.0,-0.6666666666666679,-6.0,-14.333333333333334,8.333333333333334,1,4,0,3.5,-190.0,169.0
2019_04_SEA_ARI,2019-09-29,ARI,SEA,0,-17.0,21.333333333333332,29.333333333333332,-8.0,25.333333333333332,26.333333333333332,-1.0,-4.0,3.0,-7.0,1,4,1,-5.5,209.0,-238.0
2019_04_DAL_NO,2019-09-29,NO,DAL,1,2.0,24.0,27.333333333333332,-3.333333333333332,32.333333333333336,14.666666666666666,17.66666666666667,-8.333333333333336,12.666666666666666,-21.000000000000004,1,4,0,-2.5,127.0,-140.0
2019_04_JAX_DEN,2019-09-29,DEN,JAX,0,-2.0,15.333333333333334,22.333333333333332,-6.999999999999998,19.333333333333332,20.0,-0.6666666666666679,-3.9999999999999982,2.333333333333332,-6.33333333333333,1,4,0,2.5,-137.0,124.0
2019_04_MIN_CHI,2019-09-29,CHI,MIN,1,10.0,16.666666666666668,13.0,3.666666666666668,26.0,15.666666666666666,10.333333333333334,-9.333333333333332,-2.666666666666666,-6.666666666666666,1,4,1,-1.0,-102.0,-108.0
2019_04_TB_LA,2019-09-29,LA,TB,0,-15.0,25.666666666666668,16.333333333333332,9.333333333333336,22.666666666666668,25.666666666666668,-3.0,3.0,-9.333333333333336,12.333333333333336,1,4,0,9.0,-473.0,385.0
2019_04_LAC_MIA,2019-09-29,MIA,LAC,0,-20.0,5.333333333333333,44.333333333333336,-39.0,20.0,21.333333333333332,-1.3333333333333321,-14.666666666666668,23.000000000000004,-37.66666666666667,1,4,0,-15.0,602.0,-806.0
2019_04_WAS_NYG,2019-09-29,NYG,WAS,1,21.0,21.0,31.333333333333332,-10.333333333333332,21.0,31.333333333333332,-10.333333333333332,0.0,0.0,0.0,1,4,1,3.0,-163.0,146.0
2019_04_OAK_IND,2019-09-29,IND,OAK,0,-7.0,23.333333333333332,23.666666666666668,-0.3333333333333357,16.0,26.0,-10.0,7.333333333333332,-2.333333333333332,9.666666666666664,1,4,0,5.5,-242.0,212.0
2019_04_CAR_HOU,2019-09-29,HOU,CAR,0,-6.0,22.666666666666668,20.666666666666668,2.0,26.333333333333332,23.333333333333332,3.0,-3.6666666666666643,-2.6666666666666643,-1.0,1,4,0,5.5,-257.0,224.0
2019_04_KC_DET,2019-09-29,DET,KC,0,-4.0,22.333333333333332,20.333333333333332,2.0,33.666666666666664,21.333333333333332,12.333333333333332,-11.333333333333332,-1.0,-10.333333333333332,1,4,0,-7.5,307.0,-364.0
2019_04_NE_BUF,2019-09-29,BUF,NE,0,-6.0,22.0,15.666666666666666,6.333333333333334,35.333333333333336,5.666666666666667,29.666666666666668,-13.333333333333336,10.0,-23.333333333333336,1,4,1,-7.0,274.0,-321.0
2019_04_CLE_BAL,2019-09-29,BAL,CLE,0,-15.0,36.666666666666664,20.0,16.666666666666664,16.333333333333332,22.0,-5.666666666666668,20.333333333333332,-2.0,22.333333333333332,1,4,1,7.5,-327.0,279.0
2019_04_TEN_ATL,2019-09-29,ATL,TEN,0,-14.0,20.0,25.0,-5.0,22.333333333333332,17.333333333333332,5.0,-2.333333333333332,7.666666666666668,-10.0,1,4,0,3.5,-174.0,156.0
2019_04_CIN_PIT,2019-09-30,PIT,CIN,1,24.0,16.333333333333332,28.333333333333332,-12.0,18.0,27.666666666666668,-9.666666666666668,-1.6666666666666679,0.6666666666666643,-2.333333333333332,1,4,1,3.5,-179.0,160.0
2019_05_LA_SEA,2019-10-03,SEA,LA,1,1.0,25.75,22.25,3.5,29.25,26.0,3.25,-3.5,-3.75,0.25,1,5,1,1.5,-122.0,111.0
2019_05_IND_KC,2019-10-06,KC,IND,0,-6.0,33.75,23.5,10.25,23.5,25.5,-2.0,10.25,-2.0,12.25,1,5,0,10.5,-504.0,407.0
2019_05_GB_DAL,2019-10-06,DAL,GB,0,-10.0,26.75,14.0,12.75,21.25,17.25,4.0,5.5,-3.25,8.75,1,5,0,3.5,-181.0,162.0
2019_05_DEN_LAC,2019-10-06,LAC,DEN,0,-7.0,22.5,18.5,4.0,17.5,23.25,-5.75,5.0,-4.75,9.75,1,5,1,4.0,-226.0,199.0
2019_05_NE_WAS,2019-10-06,WAS,NE,0,-26.0,16.5,29.5,-13.0,30.5,6.75,23.75,-14.0,22.75,-36.75,1,5,0,-15.5,695.0,-963.0
2019_05_BUF_TEN,2019-10-06,TEN,BUF,0,-7.0,22.75,15.5,7.25,19.0,15.75,3.25,3.75,-0.25,4.0,1,5,0,3.5,-182.0,162.0
2019_05_BAL_PIT,2019-10-06,PIT,BAL,0,-3.0,19.0,22.0,-3.0,33.75,25.0,8.75,-14.75,-3.0,-11.75,1,5,1,-3.5,160.0,-179.0
2019_05_NYJ_PHI,2019-10-06,PHI,NYJ,1,25.0,27.5,26.25,1.25,11.0,23.333333333333332,-12.333333333333332,16.5,2.916666666666668,13.583333333333332,1,5,0,14.0,-782.0,587.0
2019_05_CHI_OAK,2019-10-06,OAK,CHI,1,3.0,19.75,25.5,-5.75,16.5,11.25,5.25,3.25,14.25,-11.0,1,5,0,-6.5,232.0,-266.0
2019_05_MIN_NYG,2019-10-06,NYG,MIN,0,-18.0,21.75,24.25,-2.5,21.0,15.75,5.25,0.75,8.5,-7.75,1,5,0,-5.5,213.0,-243.0
2019_05_TB_NO,2019-10-06,NO,TB,1,7.0,21.0,23.0,-2.0,30.75,29.25,1.5,-9.75,-6.25,-3.5,1,5,1,3.0,-148.0,133.0
2019_05_ATL_HOU,2019-10-06,HOU,ATL,1,21.0,19.5,19.5,0.0,17.5,24.75,-7.25,2.0,-5.25,7.25,1,5,0,4.0,-207.0,184.0
2019_05_ARI_CIN,2019-10-06,CIN,ARI,0,-3.0,14.25,27.5,-13.25,18.5,28.75,-10.25,-4.25,-1.25,-3.0,1,5,0,3.0,-154.0,139.0
2019_05_JAX_CAR,2019-10-06,CAR,JAX,1,7.0,23.75,20.0,3.75,21.0,21.0,0.0,2.75,-1.0,3.75,1,5,0,3.0,-189.0,169.0
2019_05_CLE_SF,2019-10-07,SF,CLE,1,28.0,32.0,18.0,14.0,22.25,22.75,-0.5,9.75,-4.75,14.5,1,5,0,5.0,-226.0,199.0
2019_06_NYG_NE,2019-10-10,NE,NYG,1,21.0,31.0,6.8,24.2,19.4,25.0,-5.600000000000001,11.600000000000001,-18.2,29.8,1,6,0,16.5,-1071.0,756.0
2019_06_PIT_LAC,2019-10-13,LAC,PIT,0,-7.0,20.6,18.8,1.8000000000000007,19.8,22.8,-3.0,0.8000000000000007,-4.0,4.800000000000001,1,6,0,6.0,-252.0,220.0
2019_06_DAL_NYJ,2019-10-13,NYJ,DAL,1,2.0,9.75,25.25,-15.5,26.2,18.0,8.2,-16.45,7.25,-23.7,1,6,0,-7.0,270.0,-316.0
2019_06_TEN_DEN,2019-10-13,DEN,TEN,1,16.0,18.0,21.2,-3.1999999999999993,19.6,15.2,4.400000000000002,-1.6000000000000014,6.0,-7.600000000000001,1,6,0,1.0,-121.0,109.0
2019_06_SF_LA,2019-10-13,LA,SF,0,-13.0,29.2,26.8,2.3999999999999986,31.75,14.25,17.5,-2.5500000000000007,12.55,-15.100000000000001,1,6,1,3.0,-148.0,133.0
2019_06_ATL_ARI,2019-10-13,ARI,ATL,1,1.0,20.0,27.6,-7.600000000000001,20.4,30.4,-10.0,-0.3999999999999986,-2.799999999999997,2.3999999999999986,1,6,0,-3.0,145.0,-161.0
2019_06_WAS_MIA,2019-10-13,MIA,WAS,0,-1.0,6.5,40.75,-34.25,14.6,30.2,-15.6,-8.1,10.55,-18.65,1,6,0,-6.0,210.0,-240.0
2019_06_NO_JAX,2019-10-13,JAX,NO,0,-7.0,22.2,23.6,-1.4000000000000021,23.0,23.2,-0.1999999999999993,-0.8000000000000007,0.40000000000000213,-1.2000000000000028,1,6,0,2.5,-139.0,126.0
